run_date,algorithm,obj,time_s,instance_file,instance_basename,n_vertices,n_customers,n_det_customers,n_tb_customers,sum_all_profits,avg_profit,avg_det_profit,avg_tb_profit,avg_tb_lambda,avg_arc_cost,time_bound,instance_type,tsiligirides_op_num,tsiligirides_op_tb,tsiligirides_hop_alpha,tsiligirides_hop_beta,tour,tour_profit,tour_prob,tour_duration,pct_time_bound_used,n_custs_visited,n_tb_custs_visited,pct_profit_collected,pct_custs_visited,pct_custs_visited_which_are_tb,avg_visited_det_profit,avg_visited_tb_profit,avg_visited_tb_lambda,avg_travel_time_after_det_cust,avg_travel_time_after_tb_cust,obj_type,has_feasible_solution,actual_tour_obj,obj_bound
2022-02-19-18-31-18,nonlinear_concave_model,5.43030543968,663.005672454834,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-25-0.4-4.json,hop_tsiligirides-3-25-0.4-4,32,31,19,12,1610.0,51.935483870967744,27.894736842105264,90.0,0.0761780931106959,9.386695470404131,25.0,tsiligirides_hop,3,25,0.4,4,"0,21,4,16,19,27,13,23,0",330.0,0.6915725512137905,24.520955027370924,98.0838201094837,7,2,20.496894409937887,22.580645161290324,28.571428571428573,34.0,80.0,0.0814543705791027,13.458742159588402,2.466343205824058,concave,True,228.21894190055085,5.43031086999
2022-02-19-18-24-52,nonlinear_concave_model,6.40674124745,128.85500860214233,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-105-0.3-5.json,hop_tsiligirides-3-105-0.3-5,32,31,22,9,1640.0,52.903225806451616,26.818181818181817,116.66666666666669,0.0775798160101215,9.386695470404131,105.0,tsiligirides_hop,3,105,0.3,5,"0,18,10,29,11,30,1,7,5,2,13,14,15,16,19,12,26,31,22,3,21,6,4,23,0",640.0,0.9467436409839096,102.56236853248174,97.67844622141118,23,1,39.02439024390244,74.19354838709677,4.3478260869565215,26.818181818181817,50.0,0.0967444563503859,41.59722437894916,0.565685424949236,concave,True,605.9159302297021,6.4067476542
2022-02-19-18-08-24,nonlinear_concave_model,4.70048036579,74.14259099960329,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-35-0.3-2.json,hop_tsiligirides-1-35-0.3-2,31,30,21,9,380.0,12.666666666666666,9.047619047619047,21.11111111111111,0.0787709379715657,8.435870126384714,35.0,tsiligirides_hop,1,35,0.3,2,"0,26,30,25,21,20,10,9,1,6,5,4,17,0",110.0,1.0,34.97700973589242,99.93431353112122,12,0,28.94736842105263,40.0,0.0,9.166666666666666,0.0,0.0,17.892153855920313,0.0,concave,True,110.0,4.70048506628
2022-02-19-18-25-50,nonlinear_concave_model,5.45242548439,606.9591240882874,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-30-0.4-5.json,hop_tsiligirides-2-30-0.4-5,20,19,12,7,1130.0,59.47368421052632,23.33333333333333,121.42857142857144,0.0738166430040603,6.18210573440129,30.0,tsiligirides_hop,2,30,0.4,5,"0,6,5,3,19,17,16,7,8,9,10,0",280.0,0.8332978657655092,29.96075672628507,99.8691890876169,10,1,24.778761061946906,52.63157894736842,10.0,22.77777777777778,75.0,0.0970626266373738,15.34257821767465,1.878829422805594,concave,True,233.32340241434252,5.45243093682
2022-02-19-18-07-45,nonlinear_concave_model,2.99573227355,2.196898937225342,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-10-0.4-2.json,hop_tsiligirides-1-10-0.4-2,31,30,18,12,400.0,13.333333333333334,9.444444444444445,19.166666666666668,0.0750813525737325,8.435870126384714,10.0,tsiligirides_hop,1,10,0.4,2,"0,26,27,0",20.0,1.0,9.65271875819709,96.52718758197088,2,0,5.0,6.666666666666667,0.0,10.0,0.0,0.0,3.8412919571772095,0.0,concave,True,20.0,2.99573526929
2022-02-19-18-24-54,nonlinear_concave_model,5.24702407216,14.958716869354248,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-20-0.1-2.json,hop_tsiligirides-3-20-0.1-2,32,31,28,3,860.0,27.741935483870968,26.428571428571427,40.0,0.0636351456516772,9.386695470404131,20.0,tsiligirides_hop,3,20,0.1,2,"0,23,21,26,13,27,19,3,22,0",190.0,1.0,19.84247332330416,99.2123666165208,8,0,22.09302325581396,25.806451612903224,0.0,23.75,0.0,0.0,11.442055240630404,0.0,concave,True,190.0,5.24702931919
2022-02-19-18-15-48,nonlinear_concave_model,5.4161004022,127.091224193573,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-75-0.2-4.json,hop_tsiligirides-1-75-0.2-4,31,30,24,6,465.0,15.5,9.375,40.0,0.08771083528679,8.435870126384714,75.0,tsiligirides_hop,1,75,0.2,4,"0,18,19,26,25,30,29,24,22,21,20,10,8,7,12,6,2,4,3,13,14,15,28,27,17,0",225.0,1.0,74.57681031550511,99.43574708734016,24,0,48.38709677419355,80.0,0.0,9.375,0.0,0.0,41.080614963645296,0.0,concave,True,225.0,5.41610581831
2022-02-19-19-23-34,nonlinear_concave_model,5.96614673912,3600.0,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-60-0.4-4.json,hop_tsiligirides-3-60-0.4-4,32,31,19,12,1760.0,56.774193548387096,25.26315789473684,106.66666666666669,0.0746927647591632,9.386695470404131,60.0,tsiligirides_hop,3,60,0.4,4,"0,23,21,6,24,8,29,25,28,11,1,5,14,15,16,2,22,0",390.0,1.0,59.232352110778194,98.720586851297,16,0,22.15909090909091,51.61290322580645,0.0,24.375,0.0,0.0,31.4182498690123,0.0,concave,True,390.0,5.96615270528
2022-02-19-18-24-50,nonlinear_concave_model,5.12319884306,6.012030124664307,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-15-0.2-5.json,hop_tsiligirides-3-15-0.2-5,32,31,25,6,1360.0,43.87096774193548,26.4,116.66666666666669,0.0834454665439505,9.386695470404131,15.0,tsiligirides_hop,3,15,0.2,5,"0,26,13,3,27,4,6,21,23,0",250.0,0.6714860250361094,14.75755105970911,98.38367373139408,8,1,18.38235294117647,25.806451612903224,12.5,21.428571428571427,100.0,0.0940304850642734,7.197575300293677,4.235456985308458,concave,True,167.87150625902737,5.12320396627
2022-02-19-18-19-50,nonlinear_concave_model,5.61677109767,8.17939043045044,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-30-0.1-5.json,hop_tsiligirides-2-30-0.1-5,20,19,18,1,570.0,30.0,23.33333333333333,150.0,0.0640382355746908,6.18210573440129,30.0,tsiligirides_hop,2,30,0.1,5,"0,6,5,4,2,1,7,16,15,14,8,9,10,12,0",275.0,1.0,29.80527136312101,99.35090454373672,13,0,48.24561403508772,68.42105263157895,0.0,21.15384615384616,0.0,0.0,15.541288366007503,0.0,concave,True,275.0,5.61677671444
