run_date,algorithm,obj,time_s,instance_file,instance_basename,n_vertices,n_customers,n_det_customers,n_tb_customers,sum_all_profits,avg_profit,avg_det_profit,avg_tb_profit,avg_tb_lambda,avg_arc_cost,time_bound,instance_type,tsiligirides_op_num,tsiligirides_op_tb,tsiligirides_hop_alpha,tsiligirides_hop_beta,tour,tour_profit,tour_prob,tour_duration,pct_time_bound_used,n_custs_visited,n_tb_custs_visited,pct_profit_collected,pct_custs_visited,pct_custs_visited_which_are_tb,avg_visited_det_profit,avg_visited_tb_profit,avg_visited_tb_lambda,avg_travel_time_after_det_cust,avg_travel_time_after_tb_cust,obj_bound
2022-02-14-11-40-36,nonlinear_model,85.0,3602.166974544525,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-35-0.3-3.json,hop_tsiligirides-1-35-0.3-3,31,30,21,9,495.0,16.5,8.571428571428571,35.0,0.0777209100063954,8.435870126384714,35.0,tsiligirides_hop,1,35,0.3,3,"0,27,3,4,6,8,18,19,25,30,26,0",85.0,1.0,34.37119460376871,98.20341315362488,10,0,17.171717171717173,33.333333333333336,0.0,8.5,0.0,0.0,14.841948342676847,0.0,148.207265714
2022-02-14-11-46-34,nonlinear_model,170.0,4.1424560546875,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-20-0.1-2.json,hop_tsiligirides-2-20-0.1-2,20,19,18,1,470.0,24.73684210526316,23.88888888888889,40.0,0.0971167991212988,6.18210573440129,20.0,tsiligirides_hop,2,20,0.1,2,"0,13,12,10,9,8,1,2,4,5,6,0",170.0,1.0,19.36170952685016,96.8085476342508,10,0,36.17021276595744,52.63157894736842,0.0,17.0,0.0,0.0,9.18768681157987,0.0,170.00017
2022-02-14-13-00-58,nonlinear_model,130.858446536,28.237630367279053,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-15-0.4-2.json,hop_tsiligirides-3-15-0.4-2,32,31,19,12,1090.0,35.16129032258065,26.84210526315789,48.333333333333336,0.0733614087096595,9.386695470404131,15.0,tsiligirides_hop,3,15,0.4,2,"0,23,13,3,21,0",160.0,0.817865290849645,12.369115929698648,82.46077286465766,4,1,14.678899082568808,12.903225806451612,25.0,20.0,100.0,0.0894694742097611,8.969220130249647,2.2472205054244214,130.858577395
2022-02-14-11-01-06,nonlinear_model,150.984485875,1231.7785339355469,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-35-0.2-5.json,hop_tsiligirides-1-35-0.2-5,31,30,24,6,465.0,15.5,10.0,37.5,0.0741776851053321,8.435870126384714,35.0,tsiligirides_hop,1,35,0.2,5,"0,12,7,9,10,11,20,21,22,24,25,30,26,27,0",170.0,0.8881440345565039,33.83126081636046,96.66074518960131,13,1,36.55913978494624,43.333333333333336,7.6923076923076925,10.0,50.0,0.0663113494645571,17.913357883185146,1.7888543819998317,150.984636859
2022-02-14-10-43-06,nonlinear_model,105.0,151.8969283103943,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-30-0.1-3.json,hop_tsiligirides-1-30-0.1-3,31,30,27,3,355.0,11.833333333333334,9.25925925925926,35.0,0.0691087228601487,8.435870126384714,30.0,tsiligirides_hop,1,30,0.1,3,"0,27,26,30,25,24,23,22,21,19,18,0",105.0,1.0,29.520610904706388,98.40203634902127,10,0,29.5774647887324,33.333333333333336,0.0,10.5,0.0,0.0,14.88579682286777,0.0,105.000105
2022-02-14-13-57-35,nonlinear_model,514.282757898,1095.8031463623047,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-60-0.2-3.json,hop_tsiligirides-3-60-0.2-3,32,31,25,6,1100.0,35.483870967741936,26.0,75.0,0.0778289233517154,9.386695470404131,60.0,tsiligirides_hop,3,60,0.2,3,"0,22,31,25,28,11,30,1,5,2,12,14,15,20,16,19,3,13,27,4,21,23,0",670.0,0.7675862058179139,59.21259976779612,98.6876662796602,21,2,60.90909090909091,67.74193548387096,9.523809523809524,25.789473684210527,90.0,0.0867755918785935,31.44436685119503,1.415685424949236,514.283272181
2022-02-14-11-39-53,nonlinear_model,162.389552161,3512.389856815338,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-50-0.2-3.json,hop_tsiligirides-1-50-0.2-3,31,30,24,6,405.0,13.5,9.375,30.0,0.0695325676237441,8.435870126384714,50.0,tsiligirides_hop,1,50,0.2,3,"0,18,20,11,10,9,8,7,1,2,6,5,4,3,13,14,15,16,27,0",185.0,0.877781363030296,49.38652804206637,98.77305608413272,18,1,45.67901234567901,60.0,5.555555555555555,9.117647058823527,30.0,0.0728721883225389,28.78477874814023,1.7888543819998317,162.38971455
2022-02-14-14-52-19,nonlinear_model,44.8142899317,3615.898347139359,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-80-0.3-4.json,hop_tsiligirides-3-80-0.3-4,32,31,22,9,1460.0,47.096774193548384,26.363636363636363,97.77777777777776,0.0707353375489617,9.386695470404131,80.0,tsiligirides_hop,3,80,0.3,4,"0,24,28,29,30,7,1,5,12,14,15,20,16,19,3,13,31,2,22,26,21,6,4,23,0",880.0,0.0509253294678619,79.76204509763188,99.70255637203984,23,4,60.273972602739725,74.19354838709677,17.391304347826086,25.26315789473684,100.0,0.0740640959850776,40.32228762910678,9.715074441788332,997.658651232
2022-02-14-14-39-09,nonlinear_model,55.3668381923,3601.9721517562866,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-55-0.4-5.json,hop_tsiligirides-3-55-0.4-5,32,31,19,12,1960.0,63.2258064516129,26.84210526315789,120.83333333333331,0.0752747852539102,9.386695470404131,55.0,tsiligirides_hop,3,55,0.4,5,"0,21,6,27,13,15,12,16,14,1,4,3,22,0",530.0,0.1044657324382467,54.44564191782464,98.9920762142266,12,3,27.040816326530614,38.70967741935484,25.0,31.11111111111111,83.33333333333333,0.0822562961807836,35.42354019404635,8.941841057519776,1132.04180253
2022-02-14-11-41-00,nonlinear_model,37.4428651342,3608.3985810279846,/gpfs42/robbyfs/scratch/lab_econ/asantini/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-46-0.2-5.json,hop_tsiligirides-1-46-0.2-5,31,30,24,6,525.0,17.5,9.375,50.0,0.0691791900817463,8.435870126384714,46.0,tsiligirides_hop,1,46,0.2,5,"0,18,22,24,25,21,9,7,1,10,11,20,0",230.0,0.1627950658009798,45.14650877300626,98.14458428914403,11,3,43.80952380952381,36.66666666666666,27.272727272727277,10.0,50.0,0.0611139947691689,26.3179961545197,10.473516917548665,308.63682079
