run_date,algorithm,obj,time_s,instance_file,instance_basename,n_vertices,n_customers,n_det_customers,n_tb_customers,sum_all_profits,avg_profit,avg_det_profit,avg_tb_profit,avg_tb_lambda,avg_arc_cost,time_bound,instance_type,tsiligirides_op_num,tsiligirides_op_tb,tsiligirides_hop_alpha,tsiligirides_hop_beta,tour,tour_profit,tour_prob,tour_duration,pct_time_bound_used,n_custs_visited,n_tb_custs_visited,pct_profit_collected,pct_custs_visited,pct_custs_visited_which_are_tb,avg_visited_det_profit,avg_visited_tb_profit,avg_visited_tb_lambda,avg_travel_time_after_det_cust,avg_travel_time_after_tb_cust,obj_type,lift_mtz,add_vi1,add_vi2,add_vi3,add_vi4,integer_model,has_feasible_solution,original_obj,obj_bound
2022-08-23-15-25-42,nonlinear_model_with_vi1_liftMTZ,280.778847599,3608.90491104126,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-105-0.3-4.json,hop_tsiligirides-3-105-0.3-4,32,31,22,9,1490.0,48.064516129032256,25.90909090909091,102.22222222222224,0.0807628645857006,9.386695470404131,105.0,tsiligirides_hop,3,105,0.3,4,"0,31,1,25,10,11,29,28,18,17,9,24,23,21,6,4,27,13,3,12,14,15,16,19,26,22,0",850.0,0.3303280559989284,99.33113725757596,94.60108310245327,25,3,57.04697986577181,80.64516129032258,12.0,25.90909090909091,93.33333333333331,0.0866708326698511,47.40966628771178,4.3507300192097205,original,True,True,False,False,False,True,True,280.77884759908915,842.694190107
2022-08-23-13-51-05,nonlinear_model_with_vi1_liftMTZ,210.0,79.6955361366272,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-65-0.2-2.json,hop_tsiligirides-1-65-0.2-2,31,30,24,6,350.0,11.666666666666666,9.166666666666666,21.666666666666668,0.0840754688295699,8.435870126384714,65.0,tsiligirides_hop,1,65,0.2,2,"0,27,28,16,14,3,4,5,6,2,1,7,8,9,10,11,23,22,21,20,19,25,26,0",210.0,1.0,63.10363670432012,97.08251800664632,22,0,60.0,73.33333333333333,0.0,9.545454545454543,0.0,0.0,30.51741557743393,0.0,original,True,True,False,False,False,True,True,210.0,210.00021
2022-08-23-14-25-26,nonlinear_model_with_vi1_liftMTZ,720.0,97.9016659259796,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-100-0.1-5.json,hop_tsiligirides-3-100-0.1-5,32,31,28,3,1120.0,36.12903225806452,25.714285714285715,133.33333333333334,0.0739231591350498,9.386695470404131,100.0,tsiligirides_hop,3,100,0.1,5,"0,23,22,26,4,6,21,24,8,9,18,10,29,31,25,28,30,7,1,5,12,14,15,20,16,19,2,3,13,0",720.0,1.0,95.0706904597439,95.07069045974389,28,0,64.28571428571429,90.3225806451613,0.0,25.714285714285715,0.0,0.0,49.33294993063979,0.0,original,True,True,False,False,False,True,True,720.0,720.000720001
2022-08-23-14-13-27,nonlinear_model_with_vi1_liftMTZ,213.665486108,14.536783218383787,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-2-23-0.4-4.json,hop_tsiligirides-2-23-0.4-4,20,19,12,7,915.0,48.1578947368421,24.58333333333333,88.57142857142857,0.0709907878723394,6.18210573440129,23.0,tsiligirides_hop,2,23,0.4,4,"0,13,9,8,7,1,2,3,4,5,6,0",270.0,0.791353652250293,22.436332663261112,97.54927244896136,10,2,29.508196721311474,52.63157894736842,20.0,21.25,50.0,0.0542524278035755,12.454385876403515,2.1474604926512533,original,True,True,False,False,False,True,True,213.6654861075791,213.665699773
2022-08-23-13-58-04,nonlinear_model_with_vi1_liftMTZ,250.0,106.9468879699707,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-73-0.1-4.json,hop_tsiligirides-1-73-0.1-4,31,30,27,3,375.0,12.5,9.444444444444445,40.0,0.0848476558709558,8.435870126384714,73.0,tsiligirides_hop,1,73,0.1,4,"0,18,26,19,25,30,29,24,22,21,20,11,10,9,8,7,1,2,12,5,4,3,14,15,16,28,27,0",250.0,1.0,72.92634786214033,99.8991066604662,26,0,66.66666666666667,86.66666666666667,0.0,9.615384615384617,0.0,0.0,39.15356653309605,0.0,original,True,True,False,False,False,True,True,250.0,250.00025
2022-08-23-13-57-32,nonlinear_model_with_vi1_liftMTZ,75.4778839508,814.318644285202,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-25-0.3-3.json,hop_tsiligirides-1-25-0.3-3,31,30,21,9,445.0,14.833333333333334,9.761904761904765,26.666666666666668,0.0729325326016027,8.435870126384714,25.0,tsiligirides_hop,1,25,0.3,3,"0,17,14,15,16,28,27,0",85.0,0.8879751053039798,24.78624451466622,99.14497805866488,6,1,19.10112359550562,20.0,16.666666666666668,11.0,30.0,0.0664176872897328,13.406674122359636,1.7888543819998317,original,True,True,False,False,False,True,True,75.47788395083829,75.4779594288
2022-08-23-16-04-29,nonlinear_model_with_vi1_liftMTZ,112.90623068,3602.616266489029,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-90-0.3-4.json,hop_tsiligirides-3-90-0.3-4,32,31,22,9,1460.0,47.096774193548384,26.363636363636363,97.77777777777776,0.0793895871163064,9.386695470404131,90.0,tsiligirides_hop,3,90,0.3,4,"0,22,13,27,3,2,12,15,20,14,5,7,29,10,18,8,24,25,31,28,23,0",590.0,0.1913664926772861,88.76746007828885,98.63051119809872,20,3,40.41095890410959,64.51612903225806,15.0,25.294117647058822,53.333333333333336,0.0790244892519943,58.32497548665234,7.406558377474325,original,True,True,False,False,False,True,True,112.90623067959882,947.9590109
2022-08-23-15-01-21,nonlinear_model_with_vi1_liftMTZ,155.748293167,3602.5262529850006,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-75-0.3-5.json,hop_tsiligirides-1-75-0.3-5,31,30,21,9,645.0,21.5,9.285714285714286,50.0,0.0715654603166646,8.435870126384714,75.0,tsiligirides_hop,1,75,0.3,5,"0,18,26,30,25,22,23,20,11,9,8,7,1,6,2,3,17,28,16,15,14,27,0",265.0,0.5877294081786867,73.71800583380997,98.29067444507996,21,1,41.08527131782946,70.0,4.761904761904762,9.5,75.0,0.0582275153117675,42.54553376360404,9.12779163476334,original,True,True,False,False,False,True,True,155.74829316735196,366.708249576
2022-08-23-13-59-48,nonlinear_model_with_vi1_liftMTZ,245.0,90.5027825832367,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-75-0.1-2.json,hop_tsiligirides-1-75-0.1-2,31,30,27,3,315.0,10.5,9.444444444444445,20.0,0.0835991607841063,8.435870126384714,75.0,tsiligirides_hop,1,75,0.1,2,"0,27,28,16,15,13,3,4,5,6,2,1,7,9,10,8,18,20,21,22,23,24,29,30,25,26,0",245.0,1.0,74.8870746508706,99.84943286782746,25,0,77.77777777777777,83.33333333333333,0.0,9.8,0.0,0.0,36.18936590430764,0.0,original,True,True,False,False,False,True,True,245.0,245.000245
2022-08-23-14-51-21,nonlinear_model_with_vi1_liftMTZ,16.4944326652,3604.8903045654297,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-65-0.3-4.json,hop_tsiligirides-1-65-0.3-4,31,30,21,9,525.0,17.5,9.761904761904765,35.55555555555556,0.077744985864081,8.435870126384714,65.0,tsiligirides_hop,1,65,0.3,4,"0,2,1,7,9,10,18,19,29,25,21,22,23,24,5,17,27,0",255.0,0.0646840496675349,64.09030631117685,98.60047124796438,16,4,48.57142857142857,53.333333333333336,25.0,9.583333333333334,35.0,0.0780906107044931,41.149184474374046,9.152168744069876,original,True,True,False,False,False,True,True,16.494432665221414,329.121586255
2022-08-23-13-44-32,nonlinear_model_with_vi1_liftMTZ,65.0,34.331944942474365,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-20-0.2-5.json,hop_tsiligirides-1-20-0.2-5,31,30,24,6,545.0,18.166666666666668,9.166666666666666,54.16666666666666,0.0726733802452501,8.435870126384714,20.0,tsiligirides_hop,1,20,0.2,5,"0,26,30,25,21,20,19,18,0",65.0,1.0,19.371038789149072,96.85519394574536,7,0,11.926605504587156,23.33333333333333,0.0,9.285714285714286,0.0,0.0,9.498873918305147,0.0,original,True,True,False,False,False,True,True,65.0,65.0000650001
2022-08-23-15-01-06,nonlinear_model_with_vi1_liftMTZ,679.137162899,149.45804858207703,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-3-80-0.1-4.json,hop_tsiligirides-3-80-0.1-4,32,31,28,3,1070.0,34.516129032258064,25.357142857142858,120.0,0.0852405134963751,9.386695470404131,80.0,tsiligirides_hop,3,80,0.1,4,"0,23,26,22,25,28,29,9,17,18,10,11,30,7,1,5,2,12,14,15,16,19,3,13,27,4,6,21,0",850.0,0.7989848975287854,79.95741314069093,99.94676642586369,27,1,79.4392523364486,87.09677419354838,3.703703703703704,25.0,200.0,0.099862578936499,38.58603327596846,2.2472205054244214,original,True,True,False,False,False,True,True,679.1371628994676,679.137842037
2022-08-23-13-44-03,nonlinear_model_with_vi1_liftMTZ,35.1334586511,4.824802875518799,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-15-0.3-2.json,hop_tsiligirides-1-15-0.3-2,31,30,21,9,385.0,12.833333333333334,8.80952380952381,22.22222222222222,0.0718132372667348,8.435870126384714,15.0,tsiligirides_hop,1,15,0.3,2,"0,16,28,27,0",40.0,0.878336466277462,13.854809579070466,92.3653971938031,3,1,10.38961038961039,10.0,33.333333333333336,10.0,20.0,0.0725187813313281,7.249887172259013,1.7888543819998317,original,True,True,False,False,False,True,True,35.13345865109848,35.1334937846
2022-08-23-13-45-43,nonlinear_model_with_vi1_liftMTZ,85.0,104.78849840164185,/gpfs42/robbyfs/homes/users/asantini/local/src/hazardous-orienteering-problem/data/hop-tsiligirides/hop_tsiligirides-1-25-0.1-3.json,hop_tsiligirides-1-25-0.1-3,31,30,27,3,345.0,11.5,9.444444444444445,30.0,0.0762938509112203,8.435870126384714,25.0,tsiligirides_hop,1,25,0.1,3,"0,18,20,21,22,24,25,26,27,0",85.0,1.0,24.77248468967437,99.08993875869749,8,0,24.63768115942029,26.666666666666668,0.0,10.625,0.0,0.0,12.43137039843596,0.0,original,True,True,False,False,False,True,True,85.0,85.0000850001
